epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,911.071,0.2693,0.91253,0.86074,0.77687,0.97012,0.87342,0.8663,0.20184,0.51504,0.79381,0.000112411,0.000112411,0.000112411
43,932.221,0.26607,0.9077,0.86431,0.77175,0.98859,0.87546,0.86655,0.2124,0.52976,0.80038,0.000111982,0.000111982,0.000111982
44,954.059,0.26703,0.87111,0.86235,0.78033,0.98624,0.87674,0.8699,0.20133,0.52278,0.79355,0.000111553,0.000111553,0.000111553
45,976.546,0.26052,0.84669,0.85466,0.77168,0.97767,0.87685,0.86849,0.1998,0.50741,0.79427,0.000111124,0.000111124,0.000111124
46,999.291,0.26216,0.84751,0.86155,0.78063,0.96648,0.87678,0.87106,0.19802,0.51975,0.79316,0.000110695,0.000110695,0.000110695
47,1021.33,0.25599,0.83729,0.85399,0.77417,0.98488,0.88252,0.87625,0.20222,0.52063,0.79581,0.000110266,0.000110266,0.000110266
48,1042.66,0.26555,0.85531,0.86384,0.78171,0.97375,0.87206,0.86564,0.19882,0.50592,0.79444,0.000109837,0.000109837,0.000109837
49,1064.05,0.26035,0.81988,0.85787,0.7779,0.98535,0.87747,0.87009,0.19516,0.51567,0.79222,0.000109408,0.000109408,0.000109408
50,1085.3,0.25901,0.79871,0.85811,0.77258,0.96316,0.8686,0.86146,0.19816,0.51769,0.79208,0.000108979,0.000108979,0.000108979
51,1106.74,0.25394,0.80992,0.85474,0.77105,0.96493,0.87617,0.86759,0.19785,0.52476,0.79283,0.00010855,0.00010855,0.00010855
52,1128.14,0.25087,0.80688,0.8552,0.77598,0.97441,0.87835,0.87211,0.1905,0.51435,0.78994,0.000108121,0.000108121,0.000108121
53,1149.27,0.25729,0.79642,0.856,0.77274,0.97165,0.87069,0.86604,0.18805,0.50962,0.79033,0.000107692,0.000107692,0.000107692
54,1171.04,0.2548,0.7912,0.85815,0.77355,0.97283,0.87572,0.86862,0.19991,0.52343,0.79301,0.000107263,0.000107263,0.000107263
55,1192.15,0.2519,0.77695,0.85701,0.78797,0.96263,0.87272,0.86694,0.19304,0.50033,0.78953,0.000106834,0.000106834,0.000106834
56,1213,0.26035,0.77929,0.85617,0.77576,0.97857,0.87861,0.87182,0.19259,0.52392,0.79098,0.000106405,0.000106405,0.000106405
57,1233.64,0.24991,0.75917,0.85183,0.7753,0.97371,0.87319,0.8659,0.19192,0.49972,0.79117,0.000105976,0.000105976,0.000105976
58,1254.23,0.24605,0.76192,0.85163,0.77346,0.97647,0.87117,0.86516,0.19503,0.5113,0.79318,0.000105547,0.000105547,0.000105547
59,1275.83,0.25045,0.75898,0.8572,0.78086,0.971,0.87294,0.86725,0.18985,0.51454,0.78767,0.000105118,0.000105118,0.000105118
60,1296.92,0.24441,0.74616,0.85353,0.78017,0.97178,0.8773,0.87083,0.18876,0.50918,0.7897,0.000104689,0.000104689,0.000104689
61,1317.73,0.25008,0.74814,0.85039,0.76788,0.98366,0.88742,0.88087,0.18549,0.51178,0.78704,0.00010426,0.00010426,0.00010426
62,1337.77,0.24398,0.73315,0.84838,0.78212,0.98382,0.87769,0.87248,0.19227,0.49309,0.79007,0.000103831,0.000103831,0.000103831
63,1358.88,0.24777,0.72519,0.85184,0.77491,0.9711,0.87196,0.86735,0.19092,0.51792,0.7888,0.000103402,0.000103402,0.000103402
64,1380.04,0.24943,0.72941,0.85648,0.78572,0.97575,0.87372,0.86468,0.19792,0.50932,0.79352,0.000102973,0.000102973,0.000102973
65,1401.38,0.24512,0.71135,0.84885,0.78098,0.9772,0.86133,0.85522,0.19196,0.49708,0.79024,0.000102544,0.000102544,0.000102544
66,1422.92,0.23946,0.7008,0.84853,0.76886,0.96937,0.86134,0.8568,0.18173,0.51109,0.78696,0.000102115,0.000102115,0.000102115
67,1443.98,0.2418,0.71306,0.84611,0.77096,0.96258,0.87294,0.86583,0.2019,0.50993,0.79467,0.000101686,0.000101686,0.000101686
68,1464.54,0.23985,0.69023,0.84672,0.76379,0.98419,0.87513,0.86723,0.20254,0.50486,0.79725,0.000101257,0.000101257,0.000101257
69,1485.51,0.24893,0.71147,0.85285,0.76904,0.97296,0.8786,0.87152,0.19073,0.51024,0.7911,0.000100828,0.000100828,0.000100828
70,1506.55,0.2361,0.67243,0.84923,0.77442,0.97816,0.88253,0.87726,0.18281,0.50822,0.78801,0.000100399,0.000100399,0.000100399
71,1527.75,0.23611,0.68794,0.8438,0.77761,0.96319,0.87623,0.87145,0.18435,0.49812,0.78786,9.997e-05,9.997e-05,9.997e-05
72,1548.67,0.24026,0.68931,0.84906,0.77612,0.97964,0.87392,0.86637,0.18341,0.50679,0.78728,9.9541e-05,9.9541e-05,9.9541e-05
73,1569.52,0.24017,0.67491,0.84852,0.7824,0.961,0.86931,0.86284,0.18272,0.49905,0.78679,9.9112e-05,9.9112e-05,9.9112e-05
