epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.37107,0.79641,4.60826,1.02672,0.01579,0.0049,0.00937,0.00873,0.38114,4.1922,0.80684,4.27556e-05,4.27556e-05,4.27556e-05
2,17.6268,0.53523,3.70168,0.93497,0.74141,0.1343,0.16394,0.15145,0.34863,2.74282,0.84209,8.43843e-05,8.43843e-05,8.43843e-05
3,25.8192,0.48992,2.89798,0.92512,0.63417,0.30647,0.28202,0.26799,0.33031,1.93777,0.83317,0.000124297,0.000124297,0.000124297
4,33.3127,0.46546,2.35824,0.91816,0.63203,0.48613,0.45197,0.42897,0.32911,1.43877,0.82444,0.000122278,0.000122278,0.000122278
5,41.3501,0.43613,2.00177,0.89754,0.61539,0.54631,0.58881,0.56658,0.29926,1.23643,0.81351,0.000119704,0.000119704,0.000119704
6,49.5841,0.4093,1.72126,0.88283,0.62265,0.71796,0.66844,0.64548,0.2824,1.04531,0.80693,0.00011713,0.00011713,0.00011713
7,58.0909,0.39776,1.56335,0.87597,0.60213,0.7941,0.6959,0.67289,0.27281,0.97122,0.79917,0.000114556,0.000114556,0.000114556
8,67.0912,0.38181,1.4339,0.87178,0.67192,0.78684,0.74393,0.71894,0.27707,0.93197,0.80166,0.000111982,0.000111982,0.000111982
9,75.0603,0.37095,1.33106,0.86949,0.64115,0.88196,0.7776,0.76066,0.25695,0.82911,0.79235,0.000109408,0.000109408,0.000109408
10,83.0777,0.37009,1.2959,0.86101,0.68714,0.86783,0.81013,0.79123,0.25828,0.77018,0.79125,0.000106834,0.000106834,0.000106834
11,91.2442,0.35981,1.21601,0.86167,0.69972,0.89213,0.8265,0.80865,0.25051,0.79357,0.79184,0.00010426,0.00010426,0.00010426
12,99.3556,0.35121,1.17181,0.861,0.72507,0.89902,0.82655,0.80818,0.24691,0.73585,0.78912,0.000101686,0.000101686,0.000101686
13,107.913,0.34041,1.10926,0.85192,0.71886,0.92926,0.81846,0.80156,0.24753,0.72472,0.78776,9.9112e-05,9.9112e-05,9.9112e-05
14,116.807,0.34302,1.08207,0.8556,0.73873,0.94819,0.84598,0.82918,0.2459,0.68082,0.78842,9.6538e-05,9.6538e-05,9.6538e-05
15,124.658,0.33629,1.04099,0.85696,0.72825,0.93263,0.84963,0.83335,0.23818,0.6577,0.78612,9.3964e-05,9.3964e-05,9.3964e-05
16,132.431,0.32979,1.02456,0.85076,0.70617,0.96711,0.84638,0.83149,0.2356,0.6535,0.7854,9.139e-05,9.139e-05,9.139e-05
17,140.146,0.32494,0.99953,0.84963,0.75409,0.92319,0.86143,0.84774,0.23043,0.6397,0.78336,8.8816e-05,8.8816e-05,8.8816e-05
18,148.17,0.32065,0.98521,0.84874,0.70048,0.95567,0.85154,0.83785,0.23057,0.63051,0.78394,8.6242e-05,8.6242e-05,8.6242e-05
19,155.931,0.32123,0.95574,0.8444,0.73675,0.95539,0.85572,0.84217,0.22872,0.63976,0.7811,8.3668e-05,8.3668e-05,8.3668e-05
20,163.863,0.3167,0.95548,0.84515,0.72029,0.95513,0.84871,0.83424,0.22877,0.64169,0.78125,8.1094e-05,8.1094e-05,8.1094e-05
21,172.283,0.30519,0.92893,0.84256,0.72316,0.95666,0.8548,0.83868,0.23675,0.6262,0.78329,7.852e-05,7.852e-05,7.852e-05
22,179.964,0.31426,0.90551,0.84388,0.72914,0.9691,0.85741,0.84249,0.23083,0.63531,0.78183,7.5946e-05,7.5946e-05,7.5946e-05
23,188.042,0.30511,0.8908,0.83974,0.74706,0.95346,0.85897,0.84534,0.22429,0.62311,0.77946,7.3372e-05,7.3372e-05,7.3372e-05
24,196.349,0.30651,0.92196,0.84266,0.72988,0.96438,0.85638,0.84322,0.22372,0.61815,0.77926,7.0798e-05,7.0798e-05,7.0798e-05
25,204.104,0.30415,0.88661,0.84145,0.7353,0.9507,0.85586,0.84346,0.22417,0.59369,0.7792,6.8224e-05,6.8224e-05,6.8224e-05
26,211.736,0.30747,0.90698,0.84937,0.70784,0.98853,0.85611,0.84289,0.22798,0.59685,0.77969,6.565e-05,6.565e-05,6.565e-05
27,219.291,0.29707,0.85567,0.83599,0.75084,0.9683,0.85964,0.8517,0.20868,0.58659,0.77512,6.3076e-05,6.3076e-05,6.3076e-05
28,227.181,0.29298,0.8652,0.83619,0.75161,0.97877,0.85798,0.84719,0.21761,0.59717,0.77787,6.0502e-05,6.0502e-05,6.0502e-05
29,235.421,0.29134,0.83164,0.83802,0.70857,0.98952,0.86344,0.85353,0.21583,0.58263,0.77647,5.7928e-05,5.7928e-05,5.7928e-05
30,243.693,0.29349,0.84776,0.83543,0.71944,0.9925,0.87306,0.8622,0.21122,0.58191,0.77566,5.5354e-05,5.5354e-05,5.5354e-05
31,251.721,0.28653,0.82654,0.83291,0.73801,0.97969,0.86984,0.85996,0.21722,0.58007,0.77788,5.278e-05,5.278e-05,5.278e-05
32,259.324,0.28699,0.81374,0.8345,0.75287,0.96973,0.86523,0.85439,0.21124,0.58837,0.77537,5.0206e-05,5.0206e-05,5.0206e-05
33,267.158,0.28744,0.80542,0.83826,0.75816,0.97516,0.85988,0.85076,0.20566,0.57857,0.77349,4.7632e-05,4.7632e-05,4.7632e-05
34,275.04,0.28555,0.83732,0.83327,0.75664,0.9764,0.87074,0.85788,0.21405,0.58232,0.77529,4.5058e-05,4.5058e-05,4.5058e-05
35,283.015,0.2794,0.7985,0.83453,0.74142,0.98543,0.85584,0.84585,0.20424,0.58628,0.77346,4.2484e-05,4.2484e-05,4.2484e-05
36,290.751,0.28746,0.81054,0.83991,0.74156,0.99418,0.8661,0.85592,0.20828,0.57109,0.77516,3.991e-05,3.991e-05,3.991e-05
37,298.64,0.28276,0.81011,0.83023,0.7499,0.97633,0.85806,0.84945,0.20409,0.58288,0.77339,3.7336e-05,3.7336e-05,3.7336e-05
38,306.732,0.28178,0.79241,0.83302,0.75207,0.98921,0.86165,0.85255,0.20549,0.5772,0.7729,3.4762e-05,3.4762e-05,3.4762e-05
39,314.938,0.27988,0.80602,0.83478,0.74723,0.98274,0.85587,0.84675,0.20712,0.56735,0.77318,3.2188e-05,3.2188e-05,3.2188e-05
40,322.882,0.27359,0.78779,0.832,0.75076,0.98118,0.8619,0.8518,0.20233,0.57755,0.77306,2.9614e-05,2.9614e-05,2.9614e-05
41,344.311,0.23394,0.83961,0.80289,0.74635,0.98978,0.8649,0.8557,0.20601,0.57591,0.77259,2.704e-05,2.704e-05,2.704e-05
42,352.312,0.22442,0.82117,0.79738,0.74802,0.97809,0.86147,0.85116,0.20505,0.56899,0.772,2.4466e-05,2.4466e-05,2.4466e-05
43,361.218,0.21807,0.80186,0.79903,0.75708,0.97071,0.86049,0.84874,0.20389,0.5713,0.77113,2.1892e-05,2.1892e-05,2.1892e-05
44,369.179,0.21775,0.79144,0.7987,0.74952,0.98002,0.85774,0.84873,0.20297,0.56828,0.77153,1.9318e-05,1.9318e-05,1.9318e-05
45,377.053,0.21498,0.78511,0.79991,0.75076,0.97902,0.85323,0.84387,0.20364,0.56803,0.77249,1.6744e-05,1.6744e-05,1.6744e-05
46,384.747,0.21453,0.79055,0.79914,0.75207,0.97747,0.85003,0.84183,0.19746,0.5696,0.77013,1.417e-05,1.417e-05,1.417e-05
47,392.549,0.21093,0.78118,0.79599,0.75058,0.97694,0.84596,0.83705,0.19989,0.56147,0.7709,1.1596e-05,1.1596e-05,1.1596e-05
48,400.469,0.21072,0.77202,0.79779,0.75721,0.97539,0.8502,0.84121,0.20055,0.55506,0.7708,9.022e-06,9.022e-06,9.022e-06
49,408.049,0.21026,0.76878,0.79887,0.7547,0.97384,0.84925,0.84202,0.1974,0.55492,0.77009,6.448e-06,6.448e-06,6.448e-06
50,415.896,0.20773,0.76572,0.79478,0.75679,0.97297,0.85411,0.84739,0.19705,0.55308,0.77031,3.874e-06,3.874e-06,3.874e-06
